"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094";"44.08094"
"max";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197";"5697.64197"
"4am";"1717.31384";"1624.15441";"1584.09275";"1533.96661";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1729.47430";"1341.37391";" 582.19782";" 785.60917";" 799.23105";" 201.47675";" 340.47012";" 477.89723";" 451.94875";" 462.13924";"1188.96320";"1124.83629";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 470.53791";"1097.59317";" 730.13318";" 361.93692";" 520.80017";" 591.46491";" 699.66716";" 784.05244";" 679.75801";" 527.02085";" 570.52816";" 346.65829";" 571.36132";"  87.88303";"1216.31153"
"5am";"1717.31384";"1624.15441";"1584.09275";"1476.35628";" 660.43302";" 654.18412";" 142.59257";"1044.75102";"1729.47430";"1280.99735";" 582.19782";" 785.60917";" 846.12271";" 201.47675";" 335.45410";" 431.00557";" 451.94875";" 462.13924";"1188.96320";"1124.83629";" 247.89679";" 217.55429";" 206.19354";" 334.21840";"  74.06344";" 430.72800";" 470.53791";"1097.59317";" 730.13318";" 337.58379";" 520.80017";" 591.46491";" 699.66716";" 784.05244";" 679.75801";" 527.02085";" 570.52816";" 346.65829";" 522.33327";" 110.99133";"1256.32495"
"6am";"1583.12186";"1546.80427";"1421.11237";"1513.10483";" 780.93282";" 551.56152";" 142.59257";"1049.71762";"1655.64776";"1209.30444";" 582.19782";" 728.15212";" 767.79766";" 201.47675";" 261.83651";" 402.48963";" 409.16071";" 402.71697";"1156.63081";" 973.79360";" 188.13871";" 217.55429";" 298.42119";" 334.21840";"  74.06344";" 430.72800";" 394.13910";" 964.79125";" 730.13318";" 337.58379";" 547.90961";" 591.46491";" 757.12421";" 784.05244";" 679.75801";" 423.65433";" 694.02754";" 346.65829";" 465.37503";" 110.99133";"1165.45904"
"7am";"1770.62189";"1247.60433";" 961.48607";"1334.09543";" 690.67697";" 186.32509";" 272.43823";" 868.38654";"1327.49172";"1274.58401";" 576.15682";" 714.43881";" 568.41535";" 110.44591";" 265.41111";" 266.59433";" 404.00270";" 414.29419";" 677.64676";" 755.61636";" 343.91932";" 173.86245";" 338.97069";" 306.57599";"  74.06344";" 335.30249";" 303.24333";" 563.63117";" 749.13743";" 246.46172";" 480.78777";" 577.45684";" 571.87018";" 595.62991";" 603.20831";" 465.61436";" 521.18697";" 210.25165";" 480.10486";" 194.78486";" 984.36443"
"8am";"2182.47573";"1064.90347";" 501.30139";"1091.15126";"1057.70646";" 295.13230";" 366.72205";" 841.37149";"1461.01537";" 773.21091";" 934.59934";" 527.54144";" 775.04186";" 158.88288";" 271.62015";" 369.00316";" 390.13230";" 442.81619";" 332.19555";" 260.46741";" 555.24269";" 121.38493";" 470.09469";" 430.40774";"  74.06344";" 362.90558";" 254.18779";" 297.91569";" 849.94695";" 149.58547";" 441.51852";" 668.38446";" 251.06560";" 391.83320";" 411.88110";" 361.05082";" 593.14605";" 250.20219";" 524.18580";" 339.60678";" 638.26819"
"9am";"2266.57593";"1159.03303";" 416.06271";"1038.61322";"1095.34496";" 322.68795";" 324.40737";" 841.37149";"1244.58101";" 838.55897";" 851.76692";" 527.54144";" 707.26606";" 199.60432";" 243.10421";" 434.95948";" 390.13230";" 339.31298";" 380.62352";" 302.86078";" 572.77627";"  71.85802";" 488.12847";" 388.55313";" 118.14438";" 315.30988";" 223.74102";" 339.77030";" 582.26262";" 194.94454";" 429.61136";" 657.65810";" 202.69506";" 292.30950";" 428.30007";" 361.05082";" 491.40191";" 250.20219";" 580.91025";" 339.60678";" 676.03541"
"10am";"2308.51617";"1128.77287";" 420.85586";"1056.76595";" 932.11248";" 289.01624";" 399.88862";" 794.77475";"1197.15816";" 816.42104";"1012.31834";" 486.12523";" 798.68876";" 219.25944";" 243.10421";" 374.33686";" 311.14775";" 386.73583";" 380.62352";" 302.86078";" 621.91985";"  77.52458";" 515.21070";" 282.69199";" 118.14438";" 315.30988";" 196.65879";" 324.46206";" 650.03831";" 222.10859";" 399.79639";" 682.88864";" 202.69506";" 373.75238";" 428.30007";" 402.80250";" 491.40191";" 250.20219";" 461.59192";" 297.67815";" 722.57705"
"11am";"2362.24668";" 976.97279";" 538.59646";"1028.06626";" 871.54155";" 362.84278";" 341.66296";" 794.77475";"1334.75947";" 749.43088";"1105.53438";" 571.18032";" 864.30334";" 158.88288";" 171.21549";" 397.51910";" 255.26680";" 425.76793";" 444.62918";" 302.86078";" 626.67191";"  86.42233";" 449.34844";" 267.55817";"  44.08094";" 359.59365";" 223.74102";" 199.96468";" 541.71943";" 235.13072";" 548.58600";" 560.02194";" 202.69506";" 412.73392";" 350.06907";" 366.43884";" 616.26929";" 250.20219";" 355.83942";" 297.67815";" 683.13957"
"12am";"2069.77011";" 833.45674";" 482.12930";"1148.59630";"1137.23978";" 320.76340";" 233.84932";" 802.66155";"1500.05255";" 792.00553";" 855.61329";" 561.57059";" 963.39606";"  95.56686";" 246.25974";" 368.69145";" 569.36991";" 339.31298";" 526.89652";" 361.48111";" 500.53086";" 162.98753";" 449.34844";" 267.55817";" 118.14438";" 395.52803";" 254.18779";" 346.49538";" 610.44179";" 235.13072";" 511.21092";" 602.80708";" 251.06560";" 412.73392";" 357.14529";" 542.53268";" 403.53055";" 250.20219";" 442.29437";" 192.25179";" 645.17131"
"1pm";"2466.48456";"1105.89476";" 514.64496";" 978.44899";"1039.65061";" 351.58805";" 281.73185";" 725.89592";"1323.58622";" 857.04634";" 922.04939";" 527.54144";"1005.50767";" 158.88288";" 274.46213";" 449.74446";" 253.97390";" 279.89071";" 418.28923";" 302.86078";" 516.33785";"  96.44981";" 449.34844";" 237.59063";" 118.14438";" 395.52803";" 132.47095";" 289.77093";" 678.43380";" 210.77759";" 638.14937";" 546.84131";" 251.06560";" 359.03165";" 329.18411";" 513.44984";" 257.15772";" 249.10923";" 442.29437";" 282.10018";" 643.25612"
"2pm";"2293.12091";"1332.49389";" 792.90250";" 949.87919";" 836.87492";" 449.96579";" 252.37611";" 835.84298";"1211.21833";" 776.41461";" 975.98190";" 527.54144";"1027.45671";" 158.88288";" 284.88579";" 421.22852";" 311.41369";" 279.89071";" 335.06828";" 204.44936";" 713.26007";"  62.31796";" 353.12587";" 327.39688";" 118.14438";" 371.64123";" 132.47095";" 163.86107";" 674.93846";" 191.57226";" 632.00631";" 522.88304";" 251.06560";" 249.14559";" 251.73669";" 285.12456";" 218.65300";" 302.87052";" 392.76848";" 227.12665";" 630.27529"
"3pm";"2329.69477";"1232.74919";" 813.14613";" 939.68812";" 929.69277";" 321.78116";" 252.37611";" 856.10132";"1222.89219";" 855.39119";" 935.03774";" 527.54144";" 737.04343";" 158.88288";" 418.93125";" 402.62582";" 387.82702";" 339.31298";" 302.73589";" 335.23089";" 726.70066";"  67.98452";" 455.87215";" 327.39688";" 118.14438";" 311.50367";" 132.47095";" 222.39904";" 639.00408";" 191.57226";" 527.28178";" 615.31161";" 251.06560";" 281.29016";" 303.44382";" 475.59738";" 218.65300";" 249.10923";" 449.72672";" 238.67885";" 630.27529"
"4pm";"2269.5399";"1337.4534";" 730.9497";" 980.6160";" 724.7218";" 421.6680";" 315.9158";"1037.9524";"1223.4616";" 889.9546";" 820.0248";" 527.5414";" 924.7984";" 128.4102";" 224.0919";" 402.9505";" 395.9930";" 383.3939";" 282.6727";" 457.8176";" 532.8469";" 111.9190";" 452.1354";" 280.0342";" 207.1000";" 304.6532";" 198.8014";" 517.0683";" 639.0041";" 260.0234";" 569.2356";" 502.6881";" 280.4213";" 436.0800";" 352.8841";" 511.9610";" 314.0664";" 191.0227";" 445.5319";" 196.7502";" 741.9691"
"5pm";"1764.65944";"1094.33043";" 793.61597";"1008.37097";" 812.72169";" 569.55708";" 154.10357";" 879.40659";"1448.66426";" 671.85276";" 803.59027";" 579.28532";"1095.23125";"  95.56686";" 238.63482";" 253.48775";" 447.46994";" 475.57353";" 495.27765";" 678.24391";" 436.91795";" 145.58332";" 312.79175";" 280.03425";" 118.14438";" 251.27813";" 266.72673";" 784.59851";" 683.74618";" 361.93692";" 676.07717";" 724.74826";" 280.42134";" 443.76321";" 450.81841";" 532.61722";" 381.13384";" 256.85086";" 512.63396";" 238.67885";" 811.62428"
"6pm";"1835.96966";"1315.48687";"1300.01258";"1080.96426";" 812.72169";" 623.36072";" 183.45931";"1032.79823";"2220.07489";" 888.21345";" 698.41066";" 766.73137";"1417.77234";" 140.91855";" 278.06178";" 407.54305";" 328.01591";" 245.95318";" 661.25127";" 579.83249";" 206.01674";" 187.11183";" 283.13521";" 190.22800";"  74.06344";" 442.38932";" 450.92370";"1040.86872";" 564.99154";" 299.66900";" 635.51185";" 586.51691";" 470.89649";" 604.44513";" 590.93882";" 574.74323";" 259.07882";" 386.07230";" 462.26513";" 125.72216";"1030.86894"
"7pm";"1764.79598";"1409.80202";"1363.54108";"1226.63910";" 772.52291";" 656.21874";" 142.59257";" 832.19436";"1926.25619";"1201.41260";" 593.14562";" 822.95996";"1138.73890";" 201.47675";" 366.58715";" 477.89723";" 370.65663";" 349.45639";" 931.55141";"1008.93533";" 181.05945";" 205.89297";" 281.01027";" 184.85714";"  74.06344";" 488.62692";" 447.55916";" 978.39327";" 564.99154";" 299.66900";" 477.52314";" 775.24229";" 667.48787";" 743.33100";" 643.20642";" 527.02085";" 413.72607";" 424.99660";" 556.40245";" 125.72216";"1010.04101"
"8pm";"1937.78598";"1380.75455";"1641.82147";"1371.76961";" 770.74429";" 565.65875";" 142.59257";"1044.75102";"1682.05145";"1205.21650";" 582.19782";" 857.46491";" 887.70659";" 201.47675";" 463.31304";" 477.89723";" 493.80336";" 408.87866";"1050.96991";"1107.34675";" 206.01674";" 205.89297";" 256.05298";" 334.21840";"  74.06344";" 442.38932";" 409.64437";" 936.53866";" 670.86967";" 337.58379";" 544.64498";" 543.82094";" 590.08213";" 784.05244";" 704.42861";" 527.02085";" 497.51960";" 346.65829";" 613.36069";"  87.88303";"1146.97755"
"9pm";"2064.14732";"1470.80728";"1700.86993";"1311.63366";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1729.47430";"1205.21650";" 582.19782";" 848.08462";" 829.11038";" 201.47675";" 411.63970";" 477.89723";" 493.80336";" 462.13924";"1085.33274";"1124.83629";" 247.89679";" 205.89297";" 281.01027";" 334.21840";"  74.06344";" 442.38932";" 409.64437";" 936.53866";" 730.13318";" 361.93692";" 544.64498";" 484.67432";" 532.62508";" 784.05244";" 649.22184";" 527.02085";" 532.02344";" 346.65829";" 613.36069";"  87.88303";"1240.43916"
"10pm";"2047.39114";"1500.68661";"1644.30169";"1371.76961";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1655.64776";"1280.99735";" 582.19782";" 848.08462";" 799.23105";" 201.47675";" 411.63970";" 477.89723";" 451.94875";" 462.13924";"1141.90098";"1155.28306";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 409.64437";"1035.11772";" 730.13318";" 361.93692";" 544.64498";" 543.49247";" 614.54944";" 784.05244";" 649.22184";" 527.02085";" 465.29829";" 346.65829";" 613.36069";"  87.88303";"1240.43916"
"11pm";"1955.34112";"1578.00680";"1644.30169";"1587.45731";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1655.64776";"1383.00915";" 582.19782";" 785.60917";" 799.23105";" 201.47675";" 340.47012";" 477.89723";" 451.94875";" 462.13924";"1156.63081";"1155.28306";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 409.64437";"1097.59317";" 730.13318";" 361.93692";" 544.64498";" 602.63909";" 614.54944";" 784.05244";" 649.22184";" 527.02085";" 465.29829";" 346.65829";" 522.33327";"  87.88303";"1181.29254"
"12pm";"1916.83640";"1578.00680";"1644.30169";"1587.45731";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1655.64776";"1383.00915";" 582.19782";" 785.60917";" 799.23105";" 201.47675";" 340.47012";" 477.89723";" 451.94875";" 462.13924";"1171.36064";"1155.28306";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 440.09114";"1097.59317";" 730.13318";" 361.93692";" 544.64498";" 602.63909";" 614.54944";" 784.05244";" 676.25837";" 527.02085";" 503.80301";" 346.65829";" 571.36132";"  87.88303";"1181.29254"
"1am";"1843.00986";"1578.00680";"1644.30169";"1587.45731";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1655.64776";"1383.00915";" 582.19782";" 785.60917";" 799.23105";" 201.47675";" 340.47012";" 477.89723";" 451.94875";" 462.13924";"1171.36064";"1155.28306";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 440.09114";"1097.59317";" 730.13318";" 361.93692";" 544.64498";" 602.63909";" 614.54944";" 784.05244";" 676.25837";" 527.02085";" 570.52816";" 346.65829";" 571.36132";"  87.88303";"1181.29254"
"2am";"1843.00986";"1578.00680";"1644.30169";"1587.45731";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1729.47430";"1383.00915";" 582.19782";" 785.60917";" 799.23105";" 201.47675";" 340.47012";" 477.89723";" 451.94875";" 462.13924";"1171.36064";"1155.28306";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 440.09114";"1097.59317";" 730.13318";" 361.93692";" 544.64498";" 602.63909";" 614.54944";" 784.05244";" 676.25837";" 527.02085";" 570.52816";" 346.65829";" 571.36132";"  87.88303";"1181.29254"
"3am";"1843.00986";"1578.00680";"1644.30169";"1587.45731";" 602.82269";" 654.18412";" 142.59257";"1044.75102";"1729.47430";"1383.00915";" 582.19782";" 785.60917";" 799.23105";" 201.47675";" 340.47012";" 477.89723";" 451.94875";" 462.13924";"1171.36064";"1155.28306";" 247.89679";" 217.55429";" 224.28582";" 409.69965";"  74.06344";" 430.72800";" 440.09114";"1097.59317";" 730.13318";" 361.93692";" 544.64498";" 602.63909";" 614.54944";" 784.05244";" 676.25837";" 527.02085";" 570.52816";" 346.65829";" 571.36132";"  87.88303";"1181.29254"
